Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
42.8905,-0.113597,942.819,2017-08-21,21:00,4,,clear,Cygnus
42.8906,-0.113543,942.469,2017-07-17,12:33,4,,clear,Hercules
42.7883,-0.0975037,2291.3,2017-08-18,22:00,6,,clear,Cygnus
42.8059,-0.0995636,1802.85,2017-08-24,21:50,6,,clear,Cygnus
42.8511,-0.147629,1540.23,2017-08-23,21:45,5,,clear,Cygnus
42.9093,-0.0971603,921.858,2017-08-14,22:00,3,,clear,Cygnus
42.91,-0.0977933,841.348,2017-10-19,21:00,6,,clear,Pegasus
42.9101,-0.099092,824.537,2017-09-16,21:00,3,,1/2 of sky,Cygnus
42.9101,-0.099113,824.44,2017-10-15,21:00,2,,1/2 of sky,Pegasus
43.1312,0.0853747,552.358,2017-12-12,22:00,6,,clear,Pegasus
48.5773,-3.31703,231.378,2017-08-21,00:00,6,21.35,clear,Hercules
48.4038,-3.90993,344.205,2017-08-21,23:41,6,21.35,clear,Hercules
43.1446,0.0588448,486.479,2017-12-06,20:00,6,,clear,Pegasus
43.0689,2.8125,117.45,2017-11-16,20:40,5,,clear,Pegasus
43.9776,3.59144,272.56,2017-11-15,21:04,-999,14.07,clear,
45.8155,4.20226,344.27,2017-11-16,00:52,4,,clear,
47.4696,0.614209,90.0,2017-11-15,20:51,5,,clear,
46.0483,6.34723,657.35,2017-11-14,22:50,4,,1/4 of sky,Pegasus
46.0682,6.29305,630.93,2017-11-14,22:05,4,,1/4 of sky,Pegasus
43.1431,0.0606823,473.24,2017-11-14,21:30,5,,clear,Pegasus
42.9724,0.0033474,1548.25,2017-09-20,21:00,7,,clear,Cygnus
42.9723,0.00257492,1547.97,2017-08-22,22:15,7,,1/4 of sky,Hercules
42.9723,0.00257492,1547.97,2017-07-28,23:05,7,,clear,Hercules
42.9723,0.00291824,1547.19,2017-07-15,23:15,6,,1/4 of sky,Hercules
44.5566,6.07615,732.19,2017-11-10,21:03,7,,clear,
42.9746,-0.00605106,1589.06,2017-10-15,20:40,7,,clear,Cygnus
42.9775,-0.644159,818.31,2017-10-13,20:30,5,,clear,Cygnus
43.7036,6.09034,501.47,2017-10-23,04:35,6,20.71,clear,
43.7041,6.09017,504.93,2017-11-07,19:17,6,21.6,clear,
45.5466,6.75945,1420.8,2017-11-03,23:54,4,17.88,clear,
46.3019,3.32799,282.87,2017-10-27,04:23,6,20.87,clear,
46.3026,3.32673,273.85,2017-10-26,23:50,6,21.01,clear,
46.3026,3.32674,273.86,2017-10-25,23:48,6,20.74,1/4 of sky,
43.9032,4.26664,139.46,2017-10-25,22:32,5,19.06,clear,
47.5738,6.86279,338.47,2017-10-25,23:47,5,19.07,clear,Cygnus
48.7405,2.23762,73.19,2017-10-21,22:41,4,18.73,clear,
48.7404,2.23766,72.83,2017-10-21,22:42,4,18.87,clear,
47.5773,1.403,86.73,2017-10-17,23:39,6,21.37,clear,
43.9775,3.59152,272.52,2017-10-17,21:59,4,18.53,clear,
44.6966,6.90684,2926.09,2017-10-16,23:12,5,20.11,clear,
44.0586,3.5246,1265.68,2017-10-14,20:36,6,21.47,clear,
47.2212,2.06236,100.45,2017-10-14,23:37,3,,clear,Cygnus
47.2174,2.05041,96.32,2017-10-14,22:33,4,,clear,Cygnus
45.8152,4.20214,342.41,2017-10-14,21:05,4,,clear,
47.5772,1.40319,86.46,2017-10-13,23:38,6,20.53,clear,
47.5772,1.40319,86.46,2017-10-13,23:39,6,21.07,clear,
47.0934,2.40451,127.47,2017-10-13,23:54,3,,clear,Cygnus
43.1445,0.0588369,482.72,2017-10-10,00:00,6,,clear,Cygnus
43.4702,1.4973,212.64,2017-09-24,01:50,7,,clear,
46.0301,0.641892,211.01,2017-09-23,23:54,4,,clear,
43.6339,6.98475,287.42,2017-09-22,19:04,1,14.37,over 1/2 of sky,
