code,name,abbrev,status,fall,year,place,type,mass,met_bull,antarctic,latitude,longitude,comment,nom_dep
86769,Ménétréol-sur-Sauldre,,Official,Yc,2023.0,"Centre, France",H5,714.0,115.0,,47.43333,2.3,,Departement du Loir-et-Cher
79565,Saint-Pierre-le-Viger,,Official,Yc,2023.0,"Seine-Maritime, Normandy, France",L5-6,1200.0,112.0,,49.82092,0.8264,,Departement de la Seine-Maritime
64568,Abbans-Dessous,,Official,,2015.0,"Franche-Comté, France",LL6,3.12,106.0,,47.13175,5.87555,,Departement du Doubs
63198,Mercantour,,Discredited,,2014.0,"Provence-Alpes-Cote d'Azur, France",L4-6,203.4,105.0,,44.145,7.311,,Departement des Alpes-Maritimes
84278,Le Muy,,Official,,2013.0,"Provence-Alpes-Cote d'Azur, France",H5,760.2,113.0,,43.47783,6.6015,,Departement du Var
35288,Rochechouart,,Crater,,,"Limousin, France",Impact Crater,,,,45.83333,0.93333,From EIDB,Departement de la Haute-Vienne
58385,Draveil,,Official,Y,2011.0,"Ile-del-France, France",H5,7500.0,102.0,,48.68667,2.42833,,Departement de l'Essonne
63228,Langres,,Official,,2004.0,"Champagne-Ardenne, France",L4,340.0,105.0,,47.86056,5.31361,,Departement de la Haute-Marne
18845,Plancy-l'Abbaye,,Official,,2003.0,"Champagne-Ardenne, France",H4,180.0,88.0,,48.66667,4.05,,Departement de la Marne
458,Alby sur Chéran,,Official,Y,2002.0,"Rhone-Alpes, France",Eucrite-mmict,252.0,88.0,,45.818611,6.001111,,Departement de la Haute-Savoie
55768,Contis-Plage,,Official,,2000.0,"Aquitaine, France",H5,44.0,101.0,,44.08333,-1.31667,,Departement des Landes
4918,Bacqueville,,Official,,1999.0,"Haute-Normandie, France",H6,395.0,87.0,,49.326472,1.355106,,Departement de l'Eure
16722,Mont Dieu,,Official,,1994.0,"Champagne-Ardenne, France","Iron, ungrouped",360000.0,81.0,,49.55,4.86667,,Departement des Ardennes
11874,Henvic,,Official,,1991.0,"Bretagne, France",L5,19.0,73.0,,48.65,-3.91667,,Departement du Finistere
23720,Sainte Rose,,Official,,1983.0,"Réunion, France",H3.6,430.0,65.0,,-21.19222,55.68639,,Reunion
5120,Bouvante,,Official,,1978.0,"Rhone-Alpes, France",Eucrite-mmict,8300.0,57.0,,44.92222,5.26778,,Departement de la Drome
5357,Chitenay,,Official,Y,1978.0,"Centre, France",L6,4000.0,56.0,,47.473114,1.357289,,Departement du Loir-et-Cher
23096,Saint-Aubin,,Official,,1968.0,"Champagne-Ardenne, France","Iron, IIIAB",472000.0,87.0,,48.48333,3.58333,,Departement de l'Aube
23102,Saint-Séverin,,Official,Y,1966.0,"Poitou-Charentes, France",LL6,271000.0,40.0,,45.3,0.23333,,Departement de la Dordogne
10956,Granes,,Official,Y,1964.0,"Languedoc-Roussillon, France",L6,9000.0,,,42.9,2.25,,Departement de l'Aude
23099,Ste. Marguerite,,Official,Y,1962.0,"Nord-Pas-de-Calais, France",H4,4960.0,24.0,,50.76667,3.0,,Departement du Nord
23097,St.-Chinian,,Official,Y,1959.0,"Languedoc-Roussillon, France",L6,134.3,19.0,,43.43333,2.95,,Departement de l'Herault
16627,Mezel,,Official,Y,1949.0,"Auvergne, France",L6,1300.0,,,45.76667,3.25,,Departement du Puy-de-Dome
10092,Ferrette,,Doubtful,Y,1947.0,"Alsace, France",Doubtful stone,4300.0,,,47.5,7.31667,,Departement du Haut-Rhin
16922,Nassirah,,Official,Y,1936.0,"New Caledonia, France",H4,347.0,,,-21.73333,165.9,,La Foa
16727,Montferré,,Official,Y,1923.0,"Languedoc-Roussillon, France",H5,149000.0,51.0,,43.39056,1.9625,,Departement de l'Aude
23101,Saint-Sauveur,,Official,Y,1914.0,"Midi-Pyrenees, France",EH5,14000.0,,,43.73333,1.38333,,Departement de la Haute-Garonne
12283,Kermichel,,Official,,1911.0,"Bretagne, France",L6,3000.0,,,47.65,-2.76667,,Departement du Morbihan
