ville,departement,region,nombre_etoiles,latitude,longitude
Alquines,Pas-de-calais,Hauts-de-France,5,50.739662,1.991761
Saint-Franc,Savoie,Auvergne-Rhône-Alpes,5,45.491213,5.745453
Beaurepaire,Isere,Auvergne-Rhône-Alpes,5,45.337544,5.054503
Yquebeuf,Seine-maritime,Normandie,5,49.59706,1.255093
Lagarde-d'Apt,Vaucluse,Provence-Alpes-Côte d'Azur,5,43.983463,5.472064
Moncé-en-Belin,Sarthe,Pays de la Loire,5,47.894344,0.197259
La Bauche,Charente-maritime,Nouvelle Aquitaine,5,45.746288,-0.5999439999999999
Graveron-Sémerville,Eure,Normandie,5,49.093639,0.973488
Couzou,Lot,Occitanie,4,44.765204,1.616124
Soulaines-sur-Aubance,Maine-et-loire,Pays de la Loire,4,47.364063,-0.522894
Cusy,Haute-savoie,Auvergne-Rhône-Alpes,4,45.765061,6.029434
Vachères,Haute-loire,Auvergne-Rhône-Alpes,4,45.266155,4.210806
Saint-André-Lachamp,Ardeche,Auvergne-Rhône-Alpes,4,44.504842,4.162366
Saint-Georges-Nigremont,Creuse,Nouvelle Aquitaine,4,45.836644,2.263091
Bosselshausen,Bas-rhin,Grand-Est,4,48.804496,7.509094
Classun,Landes,Nouvelle Aquitaine,4,43.710365,-0.4148719999999999
Courcoury,Charente-maritime,Nouvelle Aquitaine,4,45.711933,-0.5810069999999999
Fussey,Cote-d'or,Bourgogne-Franche-Comté,4,47.118419,4.834775
Talensac,Ille-et-vilaine,Bretagne,4,48.108377,-1.926135
Lentillac-du-Causse,Lot,Occitanie,4,44.561992,1.638737
La Couyère,Calvados,Normandie,4,48.82347,-0.973985
Bignoux,Vienne,Nouvelle Aquitaine,4,46.806326,0.597696
Lentillac-Saint-Blaise,Lot,Occitanie,4,44.590287,2.120619
Beauregard,Hautes-alpes,Provence-Alpes-Côte d'Azur,4,44.545936,6.074481
Chérancé,Sarthe,Pays de la Loire,4,48.286368,0.173706
Boisset-Saint-Priest,Loire,Auvergne-Rhône-Alpes,4,45.512149,4.104045
Nantheuil,Dordogne,Nouvelle Aquitaine,4,45.413179,0.943981
Rougon,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,4,43.798152,6.401464
Mûrs-Erigné,Maine-et-loire,Pays de la Loire,4,47.394652,-0.5541
Segrois,Cote-d'or,Bourgogne-Franche-Comté,4,47.158929,4.891607
Curel,Alpes-de-haute-provence,,4,44.176254,5.660644
La Guyonnière,Vendee,Pays de la Loire,4,46.964658,-1.250028
Millevaches,Correze,Nouvelle Aquitaine,4,45.640904,2.09495
Lacour-d'Arcenay,Cote-d'or,Bourgogne-Franche-Comté,4,47.362092,4.252087
Péronne,Somme,Hauts-de-France,4,49.932121,2.935985
Cabrerets,Lot,Occitanie,4,44.505455,1.6539389999999998
Miribel-Lanchâtre,Isere,Auvergne-Rhône-Alpes,4,44.974385,5.619862
La Barre,Vendee,Pays de la Loire,4,46.789308,-1.141159
Mantet,Pyrenees-orientales,Occitanie,4,42.476397,2.30662
Marillet,Vendee,,4,46.566536,-0.635931
Saint-Bazile-de-Meyssac,Correze,Nouvelle Aquitaine,4,45.050168,1.725951
Saint-Agnant-près-Crocq,Creuse,Nouvelle Aquitaine,4,45.802956,2.349807
La Chapelle-aux-Lys,Vendee,,4,46.628917,-0.658422
Conteville-lès-Boulogne,Pas-de-calais,Hauts-de-France,4,50.744459,1.731428
Loubaut,Ariege,Occitanie,4,43.18799,1.285034
Leigneux,Loire,Auvergne-Rhône-Alpes,3,45.751087,3.975032
Épernay-sous-Gevrey,Cote-d'or,Bourgogne-Franche-Comté,3,47.179959,5.032354
Charentilly,Indre-et-loire,Centre-Val de Loire,3,47.469413,0.608699
La Croisille-sur-Briance,Haute-vienne,Nouvelle Aquitaine,3,45.630203,1.581676
Saint-Maurice,Val-de-marne,Ile-de-France,3,48.818023,2.433454
Pittefaux,Pas-de-calais,Hauts-de-France,3,50.75652,1.683023
Aubenas-les-Alpes,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,43.930829,5.680347
Saint-Philibert,Cote-d'or,Bourgogne-Franche-Comté,3,47.20465,5.010822
Glisolles,Eure,Normandie,3,48.982885,1.020173
Marigny,Cote-d'or,Bourgogne-Franche-Comté,3,47.870628,4.614931
Cras-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes,3,46.307444,5.165016
Guitera-les-Bains,Corse-du-sud,Corse,3,41.913501,9.085794
Trégueux,Cotes-d'armor,Bretagne,3,48.490113,-2.739271
Saché,Indre-et-loire,Centre-Val de Loire,3,47.246461,0.541902
Les Garennes sur Loire,Maine-et-loire,Pays de la Loire,3,47.406908,-0.476601
Montagnieu,Ain,Auvergne-Rhône-Alpes,3,45.793185,5.46681
