ville,departement,region,nombre_etoiles,latitude,longitude,nom_dep
Alquines,Pas-de-calais,Hauts-de-France,5,50.739662,1.991761,Departement du Pas-de-Calais
Saint-Franc,Savoie,Auvergne-Rhône-Alpes,5,45.491213,5.745453,Departement de la Savoie
Beaurepaire,Isere,Auvergne-Rhône-Alpes,5,45.337544,5.054503,Departement de l'Isere
Yquebeuf,Seine-maritime,Normandie,5,49.59706,1.255093,Departement de la Seine-Maritime
Lagarde-d'Apt,Vaucluse,Provence-Alpes-Côte d'Azur,5,43.983463,5.472064,Departement du Vaucluse
Moncé-en-Belin,Sarthe,Pays de la Loire,5,47.894344,0.197259,Departement de la Sarthe
La Bauche,Charente-maritime,Nouvelle Aquitaine,5,45.746288,-0.5999439999999999,Departement de la Charente-Maritime
Graveron-Sémerville,Eure,Normandie,5,49.093639,0.973488,Departement de l'Eure
Couzou,Lot,Occitanie,4,44.765204,1.616124,Departement du Lot
Soulaines-sur-Aubance,Maine-et-loire,Pays de la Loire,4,47.364063,-0.522894,Departement de Maine-et-Loire
Cusy,Haute-savoie,Auvergne-Rhône-Alpes,4,45.765061,6.029434,Departement de la Haute-Savoie
Vachères,Haute-loire,Auvergne-Rhône-Alpes,4,45.266155,4.210806,Departement de la Haute-Loire
Saint-André-Lachamp,Ardeche,Auvergne-Rhône-Alpes,4,44.504842,4.162366,Departement de l'Ardeche
Saint-Georges-Nigremont,Creuse,Nouvelle Aquitaine,4,45.836644,2.263091,Departement de la Creuse
Bosselshausen,Bas-rhin,Grand-Est,4,48.804496,7.509094,Departement du Bas-Rhin
Classun,Landes,Nouvelle Aquitaine,4,43.710365,-0.4148719999999999,Departement des Landes
Courcoury,Charente-maritime,Nouvelle Aquitaine,4,45.711933,-0.5810069999999999,Departement de la Charente-Maritime
Fussey,Cote-d'or,Bourgogne-Franche-Comté,4,47.118419,4.834775,Departement de la Cote-d'Or
Talensac,Ille-et-vilaine,Bretagne,4,48.108377,-1.926135,Departement d'Ille-et-Vilaine
Lentillac-du-Causse,Lot,Occitanie,4,44.561992,1.638737,Departement du Lot
La Couyère,Calvados,Normandie,4,48.82347,-0.973985,Departement du Calvados
Bignoux,Vienne,Nouvelle Aquitaine,4,46.806326,0.597696,Departement de la Vienne
